Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
,,DANCE  25 Total,,4,5,,1,,,,,,,10,20
,,DANCE  31,GAYDOS S C,14,9,,,,,,,,,10,33
,,,MOLNAR CY A,20,2,4,1,8,,,,1,,9,45
,,DANCE  31 Total,,34,11,4,1,8,,,,1,,19,78
,,DANCE  32,MOLNAR CY A,17,4,,1,3,,,,,,5,30
,,DANCE  32 Total,,17,4,,1,3,,,,,,5,30
,,DANCE  33,LEE J Y,7,9,2,1,1,,,,2,,5,27
,,DANCE  33 Total,,7,9,2,1,1,,,,2,,5,27
,,DANCE  34,LEE J Y,,4,,,,,,,,,1,5
,,DANCE  34 Total,,,4,,,,,,,,,1,5
,,DANCE  35,VAN WORMER V M,1,1,3,,1,,,,,,1,7
,,DANCE  35 Total,,1,1,3,,1,,,,,,1,7
,,DANCE  36,VAN WORMER V M,6,3,3,1,,,1,,,,1,15
,,DANCE  36 Total,,6,3,3,1,,,1,,,,1,15
,,DANCE  41,MCDONALD K E,6,7,,,1,,,,1,,5,20
,,DANCE  41 Total,,6,7,,,1,,,,1,,5,20
,,DANCE  42,AYBAY OWENS S,8,2,,,,,,,,,4,14
,,,MCDONALD K E,11,7,3,,1,,,,,,4,26
,,DANCE  42 Total,,19,9,3,,1,,,,,,8,40
,,DANCE  43,TOMASIC M T,10,5,,,,,1,,,,5,21
,,DANCE  43 Total,,10,5,,,,,1,,,,5,21
,,DANCE  44,TOMASIC M T,7,2,1,,,,,,,,2,12
,,DANCE  44 Total,,7,2,1,,,,,,,,2,12
,,DANCE  45,AYBAY OWENS S,4,1,,,,,,,,,1,6
,,DANCE  46,AYBAY OWENS S,13,2,1,,1,,,,,,,17
,,DANCE  46 Total,,13,2,1,,1,,,,,,,17
,,DANCE  55A,TOMASIC M T,15,3,,,,,,,,,1,19
,,DANCE  55A Total,,15,3,,,,,,,,,1,19
,,DANCE  57A,SUSILOWATI S,21,6,1,,,,,,1,,1,30
,,DANCE  57A Total,,21,6,1,,,,,,1,,1,30
,,DANCE  62,VAN WORMER V M,3,3,1,1,1,,,,1,,,10
,,DANCE  62 Total,,3,3,1,1,1,,,,1,,,10
,,DANCE  63,VAN WORMER V M,2,,1,,,,,,,,,3
,,DANCE  63 Total,,2,,1,,,,,,,,,3
,,DANCE  70,SUSILOWATI S,16,,,,,,,,,,1,17
,,,TOMASIC M T,8,,,,1,,,,,,,9
,,DANCE  70 Total,,24,,,,1,,,,,,1,26
,,DANCE  79,TOMASIC M T,9,3,2,,3,,,,,1,,18
,,DANCE  79 Total,,9,3,2,,3,,,,,1,,18
,,DANCE  88A,DOUGLAS JUDITH G,2,1,,,,,,,,,,3
,,,LEE J Y,,2,,,,,,,,,,2
,,DANCE  88A Total,,2,3,,,,,,,,,,5
,,DANCE  88B,DOUGLAS JUDITH G,2,1,,,,,,,,,,3
,,,LEE J Y,1,2,,,,,,,,,,3
,,DANCE  88B Total,,3,3,,,,,,,,,,6
,,DANCE  90A,LEE J Y,,,,,,,,,4,,,4
,,DANCE  90A Total,,,,,,,,,,4,,,4
,,DANCE  90B,WOLIN‐TUPAS R L,,,,,,,,,9,,,9
,,DANCE  90B Total,,,,,,,,,,9,,,9
,DANCE Total,,,396,197,78,30,48,,3,3,23,1,138,917
Dance Total,,,,396,197,78,30,48,,3,3,23,1,138,917
Design Technology,ET,ET      2,KEESHEN J F,36,18,7,,,,,,,,14,75
,,ET      2 Total,,36,18,7,,,,,,,,14,75
,,ET     11,ABODE JR P J,10,2,3,4,,,,,,,4,23
,,ET     11 Total,,10,2,3,4,,,,,,,4,23
,,ET     13,JAVELOSA D A,12,2,2,1,2,,,,,,4,23
,,ET     13 Total,,12,2,2,1,2,,,,,,4,23
,,,KLAUTKY E K,13,4,2,,,,,,,,4,23
,,ET     18 Total,,18,11,8,1,,,,,,,7,45
,,ET     19A,KEESHEN J F,15,16,8,1,,,,,,,9,49
,,ET     19A Total,,15,16,8,1,,,,,,,9,49
,,ET     19B,DAVIS J A,2,9,1,,1,,,,,,3,16
,,ET     19B Total,,2,9,1,,1,,,,,,3,16
,,ET     20,BROWN S S,13,3,,,,,,,,,2,18
,,ET     20 Total,,13,3,,,,,,,,,2,18
,,ET     21A,DAVIS J A,10,7,,,,,,,,,5,22
,,ET     21A Total,,10,7,,,,,,,,,5,22
,,ET     24,FRIA C T,24,10,7,,5,,,,,,7,53
,,ET     24 Total,,24,10,7,,5,,,,,,7,53
,,ET     24B,KIM JO S,5,4,1,1,,,,,,1,4,16
,,ET     24B Total,,5,4,1,1,,,,,,1,4,16
,,ET     25,FRIA C T,8,3,2,1,3,,,,,,2,19
,,ET     25 Total,,8,3,2,1,3,,,,,,2,19
,,ET     26,WILLIAMS V J,15,4,,,1,,,,,,3,23
,,ET     26 Total,,15,4,,,1,,,,,,3,23
,,ET     30,FRIA C T,15,6,3,,2,,,,,,2,28
,,ET     30 Total,,15,6,3,,2,,,,,,2,28
,,ET     31A,LOUIE W B,48,12,4,,4,,1,,,,10,79
,,ET     31A Total,,48,12,4,,4,,1,,,,10,79
,,ET     31B,LOUIE W B,28,12,4,1,3,,,,,,4,52
,,ET     31B Total,,28,12,4,1,3,,,,,,4,52
,,ET     32,UZAN D,8,5,,,4,,,,,,4,21
,,ET     32 Total,,8,5,,,4,,,,,,4,21
,,ET     39,JAVELOSA D A,9,4,,1,2,,,,,,3,19
,,ET     39 Total,,9,4,,1,2,,,,,,3,19
,,ET     40,JAVELOSA D A,13,8,,4,1,,,,,,1,27
,,ET     40 Total,,13,8,,4,1,,,,,,1,27
,,ET     41,PLATT H H,,13,3,2,,,2,,1,,2,23
,,ET     41 Total,,,13,3,2,,,2,,1,,2,23
,,ET     41M,BEASLEY F,8,6,2,,2,,,,,,4,22
,,ET     42,JAVELOSA D A,29,8,2,2,3,,,,,,1,45
,,ET     42 Total,,29,8,2,2,3,,,,,,1,45
,,ET     44,JAVELOSA D A,13,3,1,2,2,,,,,,2,23
,,ET     44 Total,,13,3,1,2,2,,,,,,2,23
,,ET     61,POIRIER N P,22,5,1,,1,,1,,,,3,33
,,ET     61 Total,,22,5,1,,1,,1,,,,3,33
,,ET     72,NAGEL J G,4,9,3,,,,,,,,8,24
,,ET     72 Total,,4,9,3,,,,,,,,8,24
,,ET     88A,HAO J Y,2,,,,,,,,,,,2
,,ET     88A Total,,2,,,,,,,,,,,2
,,ET     88B,FRIA C T,,,,,,,,,1,,,1
,,ET     88B Total,,,,,,,,,,1,,,1
,,ET     91,KLAUTKY E K,12,8,3,,,,,,,,5,28
,,ET     91 Total,,12,8,3,,,,,,,,5,28
,,ET     92,KAROL‐CROWTHER C I,15,8,1,,,,,,,,2,26
,,ET     92 Total,,15,8,1,,,,,,,,2,26
,,ET     94,DE JONG O F,10,6,4,1,,,,,,,4,25
,,ET     94 Total,,10,6,4,1,,,,,,,4,25
,ET Total,,,404,202,70,22,36,,4,,2,1,119,860
,GR DES,GR DES 18,HILL R L,7,3,3,2,4,,,,,,3,22
,,,VRUWINK N R,37,4,6,2,5,,,1,3,,4,62
,,GR DES 18 Total,,44,7,9,4,9,,,1,3,,7,84
,,GR DES 31,BADUEL Z M,16,16,12,1,5,,,,,,15,65
,,,WOOD S J,12,5,4,,,,,,,,3,24
,,GR DES 31 Total,,28,21,16,1,5,,,,,,18,89
,,GR DES 33,TURNER L J,13,5,3,,,,,,,,3,24
,,,WOOD S J,13,,2,,2,,,,,,4,21
,,GR DES 33 Total,,26,5,5,,2,,,,,,7,45
,,GR DES 34,MAZZARA E,14,2,1,,,,,,,,1,18
,,GR DES 34 Total,,14,2,1,,,,,,,,1,18
,,GR DES 35,ROBINSON K C,17,10,5,3,1,,,,,,12,48
,,GR DES 35 Total,,17,10,5,3,1,,,,,,12,48
,,GR DES 38,BADUEL Z M,8,12,7,,2,,,,,,14,43
,,GR DES 41,DONON S G,28,5,1,,,,,,,,6,40
,,GR DES 41 Total,,28,5,1,,,,,,,,6,40
,,GR DES 43,TANAKA BONITA R,18,3,,1,,,,,,,5,27
,,GR DES 43 Total,,18,3,,1,,,,,,,5,27
,,GR DES 44,TURNER L J,21,1,1,,,,,,1,,,24
,,GR DES 44 Total,,21,1,1,,,,,,1,,,24
,,GR DES 50,TANAKA BONITA R,22,3,,,,,,,,,2,27
,,GR DES 50 Total,,22,3,,,,,,,,,2,27
,,GR DES 51,CHAN N R,11,1,1,,1,,1,,,,2,17
,,GR DES 51 Total,,11,1,1,,1,,1,,,,2,17
,,GR DES 60,JOHNSON L D,29,13,1,,2,,,,,,7,52
,,GR DES 60 Total,,29,13,1,,2,,,,,,7,52
,,GR DES 61,JOHNSON L D,25,16,2,,1,,,,,,2,46
,,,VACARRA J W,11,6,1,,2,,,,,,1,21
,,GR DES 61 Total,,36,22,3,,3,,,,,,3,67
,,GR DES 62,SWEIDAN S,16,5,,,,,,,,,2,23
,,GR DES 62 Total,,16,5,,,,,,,,,2,23
,,GR DES 64,CHAN N R,31,7,7,1,3,,,,,,4,53
,,,MACGILLIVRAY I J,7,8,4,,2,,,,,,4,25
,,,MASIHI K M,18,1,1,,,,,,,,,20
,,GR DES 64 Total,,56,16,12,1,5,,,,,,8,98
,,GR DES 65,SAFIOULLINE M,6,21,2,2,2,,,,,,8,41
,,,TRIVIZA A,6,3,1,,1,,,,,,9,20
,,GR DES 65 Total,,12,24,3,2,3,,,,,,17,61
,,GR DES 66,BESLER I H,2,4,5,2,1,,1,,,,6,21
,,,SAFIOULLINE M,3,15,2,,1,,1,,,,4,26
,,GR DES 66 Total,,5,19,7,2,2,,2,,,,10,47
,,GR DES 67,SAFIOULLINE M,4,10,3,,,,,,,,2,19
,,GR DES 67 Total,,4,10,3,,,,,,,,2,19
,,GR DES 71,GERDS E L,9,10,3,1,3,,,,,,,26
,,,KELLEY M,15,5,1,,1,,,,,,3,25
,,GR DES 71 Total,,24,15,4,1,4,,,,,,3,51
,,GR DES 71B,HEATON W B,6,7,1,,,,1,,,,1,16
,,GR DES 75,ANVARI S S,9,3,1,1,1,,,,,,2,17
,,,SAFIOULLINE M,4,12,2,,,,,,,,3,21
,,GR DES 75 Total,,13,15,3,1,1,,,,,,5,38
,,GR DES 76,ANVARI S S,18,3,,,1,,,,,,2,24
,,GR DES 76 Total,,18,3,,,1,,,,,,2,24
,,GR DES 90A,CHAN N R,,,,,,,,,1,,,1
,,GR DES 90A Total,,,,,,,,,,1,,,1
,,GR DES 90B,CHAN N R,,,,,,,,,1,,,1
,,GR DES 90B Total,,,,,,,,,,1,,,1
,GR DES Total,,,456,219,83,16,41,,4,1,6,,134,960
,INTARC,INTARC 28A,JACOBS R E,8,9,,,4,,,,,,7,28
,,,MAGNO H R,12,1,1,,2,,,,,,4,20
,,INTARC 28A Total,,20,10,1,,6,,,,,,11,48
,,INTARC 28B,SOTO A J,12,3,2,,,,,,,,4,21
,,INTARC 28B Total,,12,3,2,,,,,,,,4,21
,,INTARC 29,RABKIN B L,12,2,3,,2,,,,,,3,22
,,INTARC 29 Total,,12,2,3,,2,,,,,,3,22
,,INTARC 30,RABKIN B L,12,6,2,,,,,,,,4,24
,,INTARC 30 Total,,12,6,2,,,,,,,,4,24
,,INTARC 31,ZMUDA L M,13,8,1,,1,,,,,,2,25
,,INTARC 31 Total,,13,8,1,,1,,,,,,2,25
,,INTARC 33,GREGORY D K,5,9,2,1,2,,,,,,1,20
,,INTARC 33 Total,,5,9,2,1,2,,,,,,1,20
,,INTARC 34,ADAIR J S,7,5,5,,1,,,,,,5,23
,,INTARC 34 Total,,7,5,5,,1,,,,,,5,23
,,INTARC 34B,CORDOVA S A,9,7,1,,1,,,,,,3,21
,,INTARC 34B Total,,9,7,1,,1,,,,,,3,21
,,INTARC 35,CORDOVA S A,11,5,1,,6,,,,,,7,30
,,INTARC 35 Total,,11,5,1,,6,,,,,,7,30
,,INTARC 36,NOONAN I,20,8,,,2,,,,,,3,33
,,INTARC 36 Total,,20,8,,,2,,,,,,3,33
,,INTARC 38,GARCIA JO,13,3,,1,2,,,,,,3,22
,,INTARC 38 Total,,13,3,,1,2,,,,,,3,22
,,INTARC 39 Total,,8,8,,,,,,,,,6,22
,,INTARC 40,HAO J Y,2,6,1,,1,,,,,,1,11
,,INTARC 40 Total,,2,6,1,,1,,,,,,1,11
,,INTARC 42,NOONAN I,19,8,2,,2,,,,,,6,37
,,INTARC 42 Total,,19,8,2,,2,,,,,,6,37
,,INTARC 45,CORDOVA S A,8,2,2,,1,,,,,,,13
,,INTARC 45 Total,,8,2,2,,1,,,,,,,13
,,INTARC 50,HAO J Y,16,1,1,,3,,,,,,4,25
,,INTARC 50 Total,,16,1,1,,3,,,,,,4,25
,,INTARC 52,STAIG T S,4,3,2,3,2,,,,,,3,17
,,INTARC 52 Total,,4,3,2,3,2,,,,,,3,17
,,INTARC 90A,CORDOVA S A,,,,,,,,,2,,,2
,,INTARC 90A Total,,,,,,,,,,2,,,2
,INTARC Total,,,191,94,26,5,32,,,,2,,66,416
,IXD,IXD    330,SAFIOULLINE M,5,13,,,1,,,,1,,,20
,,IXD    330 Total,,5,13,,,1,,,,1,,,20
,,IXD    360,KIM T J,4,6,9,1,1,,,,,,,21
,,IXD    360 Total,,4,6,9,1,1,,,,,,,21
,,IXD    410,JOHNSON L D,8,8,2,3,,,,,,,,21
,,IXD    410 Total,,8,8,2,3,,,,,,,,21
,,IXD    450,CHAN N R,11,8,,,,,1,,,,,20
,,IXD    450 Total,,11,8,,,,,1,,,,,20
,,IXD    470,JOHNSON L D,10,7,2,,,,1,,,,,20
,,IXD    470 Total,,10,7,2,,,,1,,,,,20
,,IXD    492,CHAN N R,1,,,,,,,,,,,1
,,IXD    492 Total,,1,,,,,,,,,,,1
,,IXD    493,CHAN N R,13,,,,,,3,,,,,16
,,IXD    493 Total,,13,,,,,,3,,,,,16
,IXD Total,,,52,42,13,4,2,,5,,1,,,119
Design Technology Total,,,,1103,557,192,47,111,,13,1,11,1,319,2355
Disabl Stu Ctr,COUNS,COUNS  12H,ISHIHARA A M,9,,,,,,1,,,,3,13
,,COUNS  12H Total,,9,,,,,,1,,,,3,13
,,COUNS  13H,PEARCE MI,,,,,,,,,7,,,7
,,COUNS  15H,ISHIHARA A M,12,,,,,,,,,,4,16
,,COUNS  15H Total,,12,,,,,,,,,,4,16
,,COUNS  21H,PETERS T M,,,,,,1,,2,3,,,6
,,COUNS  21H Total,,,,,,,1,,2,3,,,6
,,COUNS  22H,PETERS T M,,,,,,,,,3,,,3
,,COUNS  22H Total,,,,,,,,,,3,,,3
,,COUNS  25H,PETERS T M,,,,,,,,,4,,,4
,,COUNS  25H Total,,,,,,,,,,4,,,4
,,COUNS  26,PETERS T M,,,,,,1,,,3,,1,5
,,COUNS  26 Total,,,,,,,1,,,3,,1,5
,,COUNS  51,FUJII A M,,,,,,,,1,7,,,8
,,COUNS  51 Total,,,,,,,,,1,7,,,8
,,COUNS  52,FUJII A M,,,,,,,,,4,,1,5
,,COUNS  52 Total,,,,,,,,,,4,,1,5
,,COUNS  53,TERUYA S,,,,,,,,,6,,1,7
,,COUNS  53 Total,,,,,,,,,,6,,1,7
,,COUNS  54,AXELROD L,,,,,,,,1,3,,3,7
,,COUNS  54 Total,,,,,,,,,1,3,,3,7
,,COUNS  56,AXELROD L,,,,,,,,1,6,,,7
,,COUNS  56 Total,,,,,,,,,1,6,,,7
,,COUNS  57,TERUYA S,,,,,,,,4,8,,1,13
,,COUNS  57 Total,,,,,,,,,4,8,,1,13
,,COUNS  59,COURTO L,,,,,,,,,2,,1,3
,,COUNS  59 Total,,,,,,,,,,2,,1,3
,COUNS Total,,,21,,,,,2,1,9,56,,15,104
Disabl Stu Ctr  Total,,,,21,,,,,2,1,9,56,,15,104
Earth Science,ANTHRO,ANTHRO  1,DENMAN J F,30,33,36,,12,,5,1,,,15,132
,,,HARADON C M,54,12,11,2,6,,,1,2,,6,94
,,,LEWIS B S,7,10,13,7,20,,,,,,22,79
,,,RASHIDI J S,5,6,6,,3,,,,,,2,22
,,ANTHRO  1 Total,,96,61,66,9,41,,5,2,2,,45,327
,,ANTHRO  2,GREBLER G,33,26,9,,4,,1,,2,,4,79
,,,MINZENBERG E G,18,17,15,2,2,,,,1,,12,67
,,ANTHRO  2 Total,,62,63,37,13,16,,1,,3,,36,231
,,ANTHRO  3,LEWIS B S,10,20,15,8,2,,1,,,,10,66
,,ANTHRO  3 Total,,10,20,15,8,2,,1,,,,10,66
,,ANTHRO  4,LEWIS B S,9,6,2,3,2,,,,1,,8,31
,,ANTHRO  4 Total,,9,6,2,3,2,,,,1,,8,31
,,ANTHRO  5,BREWSTER C P,22,16,11,2,2,,,1,1,,4,59
,,,RASHIDI J S,12,9,2,,4,,,,1,,,28
,,,UY J K,7,10,7,2,,,,,,,1,27
,,ANTHRO  5 Total,,41,35,20,4,6,,,1,2,,5,114
,,ANTHRO  7,COHEN M M,23,3,4,,2,,1,,,,5,38
,,ANTHRO  7 Total,,23,3,4,,2,,1,,,,5,38
,,ANTHRO 10,BREWSTER C P,10,14,5,,1,,,,,,1,31
,,ANTHRO 10 Total,,10,14,5,,1,,,,,,1,31
,,ANTHRO 14,STRAUSS E M,27,7,3,,,,,,,,3,40
,,ANTHRO 14 Total,,27,7,3,,,,,,,,3,40
,,ANTHRO 19,MINZENBERG E G,13,10,4,3,4,,1,,1,,6,42
,,ANTHRO 19 Total,,13,10,4,3,4,,1,,1,,6,42
,,ANTHRO 21,MINZENBERG E G,5,5,6,3,4,,,,,,5,28
,,ANTHRO 21 Total,,5,5,6,3,4,,,,,,5,28
,,ANTHRO 22,ZANE W W,7,7,11,4,1,,,,,,13,43
,,ANTHRO 22 Total,,7,7,11,4,1,,,,,,13,43
,,ANTHRO 88A,MINZENBERG E G,1,,,,,,,,,,,1
,,ANTHRO 88A Total,,1,,,,,,,,,,,1
,ANTHRO Total,,,304,231,173,47,79,,9,3,9,,137,992
,ASTRON,ASTRON  1,BALM S P,20,44,34,7,16,,,,1,,19,141
,,,SALAMA A H,11,12,6,1,3,,,,,,1,34
,,,SCHWARTZ M J,25,9,1,,,,,,,,4,39
,,ASTRON  1 Total,,56,65,41,8,19,,,,1,,24,214
,,ASTRON  2,BALM S P,25,49,19,10,11,,,,1,,20,135
,,,SCHWARTZ M J,20,12,1,,2,,,,1,,5,41
,,ASTRON  2 Total,,45,61,20,10,13,,,,2,,25,176
,,ASTRON  3,ARIAS YOUNG T,14,12,4,1,1,,,,,,2,34
,,,SALAMA A H,2,4,18,,3,,,,1,,5,33
,,ASTRON  4,GOLDBAUM J M,6,8,6,1,1,,,,1,,5,28
,,,SCHWARTZ M J,24,19,6,,3,,,,3,,3,58
,,,SOBEL H,5,8,7,,2,,,,1,,2,25
,,ASTRON  4 Total,,35,35,19,1,6,,,,5,,10,111
,,ASTRON  5,BALM S P,7,11,11,1,6,,,,,,3,39
,,ASTRON  5 Total,,7,11,11,1,6,,,,,,3,39
,,ASTRON  6,FOUTS G A,6,11,9,,5,,,,,,7,38
,,ASTRON  6 Total,,6,11,9,,5,,,,,,7,38
,ASTRON Total,,,165,199,122,21,53,,,,9,,76,645
,ENERGY,ENERGY  1,COOLEY S,5,1,,,,,,,,,2,8
,,ENERGY  1 Total,,5,1,,,,,,,,,2,8
,,ENERGY  2,COOLEY S,4,3,4,1,,,,,,,5,17
,,ENERGY  2 Total,,4,3,4,1,,,,,,,5,17
,ENERGY Total,,,9,4,4,1,,,,,,,7,25
,ENVRN,ENVRN   7,LEDDY G,16,5,3,1,3,,,,,,1,29
,,ENVRN   7 Total,,16,5,3,1,3,,,,,,1,29
,ENVRN Total,,,16,5,3,1,3,,,,,,1,29
,ERTHSC,ERTHSC 88A,MINZENBERG E G,1,,,,,,,,,,,1
,,ERTHSC 88A Total,,1,,,,,,,,,,,1
,,ERTHSC 88B,MINZENBERG E G,7,,,,,,,,,,,7
,,ERTHSC 88B Total,,7,,,,,,,,,,,7
,,ERTHSC 88C,MINZENBERG E G,1,,,,,,,,,,,1
,,ERTHSC 88C Total,,1,,,,,,,,,,,1
,ERTHSC Total,,,9,,,,,,,,,,,9
,GEOG,GEOG    1,COPE J A,14,13,8,1,2,,,,1,,2,41
,,,LIU J,13,16,8,,5,,,,,,5,47
,,,ROBINSON C M,11,7,8,,3,,,1,,,4,34
,,GEOG    1 Total,,38,36,24,1,10,,,1,1,,11,122
,,GEOG    2,ABATE A,5,2,6,1,1,,,,,,4,19
,,,MORRIS P S,17,9,14,7,2,,,,,,7,56
,,GEOG    2 Total,,22,11,20,8,3,,,,,,11,75
,,GEOG    3,KRANZ J,11,18,7,6,15,,,,,,10,67
,,GEOG    3 Total,,11,18,7,6,15,,,,,,10,67
,,,HACKELING J,9,9,6,1,,,,,4,,1,30
,,,LIU J,11,10,2,,,,,,3,,2,28
,,,PRINDLE M R,16,7,3,,,,,,1,,1,28
,,,WHITE T M,15,7,5,1,1,,,,2,,4,35
,,GEOG    5 Total,,55,40,24,2,4,,,,12,,14,151
,,GEOG    7,LEDDY G,9,7,1,1,,,,,,,,18
,,GEOG    7 Total,,9,7,1,1,,,,,,,,18
,,GEOG    8,MORRIS P S,4,5,7,3,,,1,,,,12,32
,,GEOG    8 Total,,4,5,7,3,,,1,,,,12,32
,,GEOG   11,ABATE A,,3,2,,,,,,,,3,8
,,GEOG   11 Total,,,3,2,,,,,,,,3,8
,,GEOG   14,HACKELING J,14,7,5,,3,,,,,,9,38
,,,MORRIS P S,4,6,11,,2,,,,,,6,29
,,GEOG   14 Total,,18,13,16,,5,,,,,,15,67
,,GEOG   20,LIU J,2,,1,,1,,,,,,1,5
,,GEOG   20 Total,,2,,1,,1,,,,,,1,5
,,GEOG   23,LIU J,1,1,,1,1,,,,,,2,6
,,GEOG   23 Total,,1,1,,1,1,,,,,,2,6
,,GEOG   35S,PATRICH J G,11,,,,,,,,,,2,13
,,GEOG   35S Total,,11,,,,,,,,,,2,13
,GEOG Total,,,171,134,102,22,39,,1,1,13,,81,564
,GEOL,GEOL    1,GRIPPO A,6,11,13,,1,,,,1,,5,37
,,GEOL    1 Total,,6,11,13,,1,,,,1,,5,37
,,GEOL    3,MELENDEZ C,9,7,7,2,2,,,,1,,1,29
,,GEOL    3 Total,,9,7,7,2,2,,,,1,,1,29
,,GEOL    4,COLLINS L E,14,25,10,5,1,,,,,,1,56
,,,HALL J M,13,11,5,,1,,,,1,,2,33
,,,MELENDEZ C,31,18,7,,2,,,,4,,1,63
,,GEOL    4 Total,,58,54,22,5,4,,,,5,,4,152
,,GEOL    5,GRIPPO A,5,5,6,,,,,,1,,9,26
,,GEOL    5 Total,,5,5,6,,,,,,1,,9,26
,,GEOL   31,COLLINS L E,9,9,4,1,1,,,,,,1,25
,,GEOL   31 Total,,9,9,4,1,1,,,,,,1,25
,GIS,GIS    20,LIU J,8,4,1,,3,,,,2,,2,20
,,GIS    20 Total,,8,4,1,,3,,,,2,,2,20
,,GIS    23,LIU J,9,,2,,,,,,,,,11
,,GIS    23 Total,,9,,2,,,,,,,,,11
,,GIS    27,MASON J,9,1,,2,,,,,,,3,15
,,GIS    27 Total,,9,1,,2,,,,,,,3,15
,GIS Total,,,26,5,3,2,3,,,,2,,5,46
,GLOBAL,GLOBAL 11,ABATE A,1,3,4,2,1,,,,,,2,13
,,GLOBAL 11 Total,,1,3,4,2,1,,,,,,2,13
,GLOBAL Total,,,1,3,4,2,1,,,,,,2,13
,PV,PV     11,COOLEY S,5,1,2,,,,,,,,8,16
,,PV     11 Total,,5,1,2,,,,,,,,8,16
,,PV     12,COOLEY S,6,3,,,,,,,1,,7,17
,,PV     12 Total,,6,3,,,,,,,1,,7,17
,PV Total,,,11,4,2,,,,,,1,,15,33
,RRM,RRM     1,CHARLES V H,17,3,1,,,,,,1,,4,26
,,RRM     1 Total,,17,3,1,,,,,,1,,4,26
,,RRM     2,CHARLES V H,12,1,1,1,,,,,,,3,18
,,RRM     2 Total,,12,1,1,1,,,,,,,3,18
,,RRM     3,HULS J M,26,2,4,,,,,,1,,2,35
,,RRM     3 Total,,26,2,4,,,,,,1,,2,35
,,RRM     4,SASU S,20,3,,,2,,,,1,,2,28
,,RRM     4 Total,,20,3,,,2,,,,1,,2,28
,RRM Total,,,75,9,6,1,2,,,,3,,11,107
,URBAN,URBAN   8,MORRIS P S,3,7,7,7,1,,1,1,1,,8,36
,,URBAN   8 Total,,3,7,7,7,1,,1,1,1,,8,36
,URBAN Total,,,3,7,7,7,1,,1,1,1,,8,36
Earth Science Total,,,,877,687,478,112,189,,11,5,46,,363,2768
Education/ECE,ECE,ECE     2,ELAM E J,11,7,2,1,1,,,,,,2,24
,,,GRACE Y H,13,8,4,,2,,,,,,5,32
,,,MOSLEY K R,15,3,1,3,2,,,,,,4,28
,,,POURROY D M,31,9,5,,1,,,,,,7,53
,,ECE     2 Total,,70,27,12,4,6,,,,,,18,137
,,,LOPEZ JE,7,3,2,1,3,,,,,,5,21
,,ECE     4 Total,,37,8,8,1,3,,,,,,5,62
,,ECE     5,ANDREWS T D,14,1,2,,4,,,,,,1,22
,,ECE     5 Total,,14,1,2,,4,,,,,,1,22
,,ECE     9,GUNN A C,15,4,,,1,,,,,,1,21
,,ECE     9 Total,,15,4,,,1,,,,,,1,21
,,ECE    11,BACKLAR N P,15,9,3,,1,,,,,,1,29
,,,MILLER CA L,33,13,5,3,3,,,,,,3,60
,,,TALLEDA M L,25,25,5,,,,1,,,,5,61
,,ECE    11 Total,,73,47,13,3,4,,1,,,,9,150
,,ECE    17,ANDREWS T D,20,1,1,1,3,,,,,,5,31
,,,BACKLAR N P,9,8,7,1,2,,,,,,1,28
,,,ELAM E J,13,7,9,2,1,,,,,,1,33
,,,RICHARD C,15,7,1,,1,,,,1,,2,27
,,ECE    17 Total,,57,23,18,4,7,,,,1,,9,119
,,ECE    19,DRUKER S L,3,5,6,1,6,,,,,,7,28
,,,MILLER CA L,19,7,2,4,,,,,,,2,34
,,ECE    19 Total,,22,12,8,5,6,,,,,,9,62
,,ECE    21,BACKLAR N P,9,4,1,,,,1,,,,5,20
,,,MILLER CA L,16,4,4,,1,,1,,,,5,31
,,ECE    21 Total,,25,8,5,,1,,2,,,,10,51
,,ECE    22,GRACE Y H,19,3,1,,,,1,,,,,24
,,,LOPEZ JE,5,6,1,,,,,,,,,12
,,ECE    22 Total,,24,9,2,,,,1,,,,,36
,,ECE    23,JOACHIM S L,7,,,,,,,,,,,7
,,ECE    23 Total,,7,,,,,,,,,,,7
,,ECE    24,HUFF G F,17,5,3,4,3,,,,,,3,35
,,ECE    24 Total,,17,5,3,4,3,,,,,,3,35
,,ECE    25,GRACE Y H,21,1,2,1,1,,,,,,1,27
,,ECE    25 Total,,21,1,2,1,1,,,,,,1,27
,,ECE    26,MOSLEY K R,11,2,4,3,,,,,,,1,21
,,ECE    26 Total,,11,2,4,3,,,,,,,1,21
,,ECE    27,MALDONADO S M,12,1,1,,5,,,,,,4,23
,,ECE    28,MALDONADO S M,6,1,1,,1,,,,,,2,11
,,ECE    28 Total,,6,1,1,,1,,,,,,2,11
,,ECE    29,GRACE Y H,11,2,3,2,1,,,,,,3,22
,,ECE    29 Total,,11,2,3,2,1,,,,,,3,22
,,ECE    30,HUFF G F,24,5,2,,2,,,,,,,33
,,ECE    30 Total,,24,5,2,,2,,,,,,,33
,,ECE    32,PARISE W A,17,7,,1,1,,,,,,2,28
,,ECE    32 Total,,17,7,,1,1,,,,,,2,28
,,ECE    41,GUNN A C,15,4,1,,2,,,,,,,22
,,ECE    41 Total,,15,4,1,,2,,,,,,,22
,,ECE    43,GUNN A C,12,5,1,,,,,,,,1,19
,,ECE    43 Total,,12,5,1,,,,,,,,1,19
