"","","","","","","","","","","","","",""
DANCE  60,VAN WORMER V M,10,5,3,1,2,,,,,,3,24
DANCE  60 Total,,10,5,3,1,2,,,,,,3,24
DANCE  61,VAN WORMER V M,5,4,,,,,,,,,2,11
DANCE  61 Total,,5,4,,,,,,,,,2,11
DANCE  70,LEE J Y/TOMASIC M T,8,,,,,,,,,,,8
"","RAMIREZ R
V/SUSILOWATI S",3,1,,,,,,,,,,4
DANCE  70 Total,,11,1,,,,,,,,,,12
DANCE  88A,DOUGLAS JUDITH G,2,,,,,,,,,,,2
"",LEE J Y,2,,,,1,,,,,,,3
"",RAMIREZ R V,8,,,,,,,,,,2,10
DANCE  88A Total,12,,,,1,,,,,,2,15,
DANCE  88B,DOUGLAS JUDITH G,1,,,,,,,,,,,1
"",LEE J Y,1,,,,,,,,,,,1
"",SUSILOWATI S,1,,,,,,,,,,,1
DANCE  88B Total,3,,,,,,,,,,,3,
"",,554,200,68,31,102,,1,5,10,,176,1147
ET      2,KEESHEN J F,30,17,9,,,,,,,,11,67
ET     11,ABODE JR P J,7,4,,2,1,,,,,,8,22
ET     11 Total,,7,4,,2,1,,,,,,8,22
ET     13,JAVELOSA D A,10,4,3,1,1,,,,,,6,25
ET     13 Total,,10,4,3,1,1,,,,,,6,25
ET     18,DE JONG O F,7,5,6,,,,,,,,6,24
"",KEESHEN J F,16,4,3,,,,,,,,3,26
ET     18 Total,,23,9,9,,,,,,,,9,50
ET     19A,KEESHEN J F,12,8,4,,,,,,,,5,29
ET     19A Total,,12,8,4,,,,,,,,5,29
ET     19B,KEESHEN J F,12,5,2,,,,,,,,1,20
ET     19B Total,,12,5,2,,,,,,,,1,20
ET     20,KEESHEN J F,12,3,1,,,,,,,,3,19
ET     20 Total,,12,3,1,,,,,,,,3,19
ET     21A,DAVIS J A,4,6,3,,4,,,,,,7,24
ET     21A Total,,4,6,3,,4,,,,,,7,24
ET     21B,BROWN S S,21,3,,,3,,,,,,2,29
ET     21B Total,,21,3,,,3,,,,,,2,29
ET     21C,KLAUTKY E K,15,2,3,2,,,,,1,,2,25
ET     21C Total,,15,2,3,2,,,,,1,,2,25
ET     24,FRIA C T,11,5,5,2,13,,,,,,9,45
ET     24 Total,,11,5,5,2,13,,,,,,9,45
ET     24B,KIM JO S,5,5,1,2,4,,,,,,4,21
ET     24B Total,,5,5,1,2,4,,,,,,4,21
ET     24D,WILLIAMS V J,9,1,,1,3,,,,,,,14
ET     24D Total,,9,1,,1,3,,,,,,,14
ET     25,FRIA C T,6,2,1,,4,,,,,,3,16
ET     25 Total,,6,2,1,,4,,,,,,3,16
ET     25B,CHOI Y,8,5,1,2,3,,,,,,4,23
ET     25B Total,,8,5,1,2,3,,,,,,4,23
ET     25C,FRIA C T,8,2,,,3,,,,,,3,16
ET     25C Total,,8,2,,,3,,,,,,3,16
ET     31A,LOUIE W B,45,13,3,2,4,,1,,1,,11,80
ET     31A Total,,45,13,3,2,4,,1,,1,,11,80
ET     31B Total,,19,13,2,2,6,,1,,1,,4,48
ET     32,UZAN D,9,5,,,3,,1,,,,3,21
ET     32 Total,,9,5,,,3,,1,,,,3,21
ET     40,BEASLEY F,13,7,2,,1,,,,,,2,25
"",JAVELOSA D A,11,5,2,1,,,,,,,4,23
ET     40 Total,,24,12,4,1,1,,,,,,6,48
ET     41,PLATT H H,3,4,6,3,2,,2,,1,,2,23
ET     41 Total,,3,4,6,3,2,,2,,1,,2,23
ET     41M,BEASLEY F,9,1,4,,2,,1,,1,,9,27
ET     41M Total,,9,1,4,,2,,1,,1,,9,27
ET     42,JAVELOSA D A,23,9,4,1,1,,,,,,6,44
ET     42 Total,,23,9,4,1,1,,,,,,6,44
ET     44,JAVELOSA D A,9,7,3,2,1,,,,,,1,23
ET     44 Total,,9,7,3,2,1,,,,,,1,23
ET     60,LOUIE W B,13,7,2,,,,1,,,,,23
ET     60 Total,,13,7,2,,,,1,,,,,23
ET     61,POIRIER N P,29,,,,2,,,,,,4,35
ET     61 Total,,29,,,,2,,,,,,4,35
ET     72,NAGEL J G,7,7,4,1,1,,,,,,9,29
ET     72 Total,,7,7,4,1,1,,,,,,9,29
ET     75,DAVIS J A,11,4,1,,,,,,,,2,18
ET     75 Total,,11,4,1,,,,,,,,2,18
ET     88A,FRIA C T,2,,,,,,,,,,,2
ET     88A Total,,2,,,,,,,,,,,2
ET     88B,FRIA C T,,,,,,,,,1,,,1
ET     88B Total,,,,,,,,,,1,,,1
ET     91,KLAUTKY E K,12,7,2,3,,,,,,,1,25
ET     91 Total,,12,7,2,3,,,,,,,1,25
ET     94,DE JONG O F,9,3,5,3,,,,,,,5,25
ET     94 Total,,9,3,5,3,,,,,,,5,25
GR DES 18,HILL R L,19,4,7,2,3,,,,,,14,49
"",MACGILLIVRAY I J,8,9,2,1,5,,,,,,1,26
"",MASIHI K M,14,2,,,,,,,,,2,18
GR DES 18 Total,,58,22,10,3,11,,,,,,19,123
GR DES 31,BADUEL Z M,13,20,6,1,7,,,,1,,16,64
"",WOOD S J,7,12,5,,1,,,,,,1,26
GR DES 31 Total,,20,32,11,1,8,,,,1,,17,90
GR DES 33,TANAKA BONITA R,16,7,1,,2,,,,,,2,28
"",TURNER L J,11,7,3,,,,,,,,2,23
GR DES 33 Total,,27,14,4,,2,,,,,,4,51
GR DES 34,MAZZARA E,6,3,6,2,3,,,,,,4,24
"",TURNER L J,9,1,,1,3,,,,,,7,21
GR DES 34 Total,,15,4,6,3,6,,,,,,11,45
GR DES 35,ROBINSON K C,20,15,2,2,1,,,,,,7,47
GR DES 35 Total,,20,15,2,2,1,,,,,,7,47
GR DES 38,BADUEL Z M,6,18,3,1,6,,,,,,8,42
GR DES 38 Total,,6,18,3,1,6,,,,,,8,42
GR DES 41,DONON S G,23,9,4,,,,,,,,5,41
GR DES 41 Total,,23,9,4,,,,,,,,5,41
GR DES 43,TANAKA BONITA R,24,3,1,,,,,,,,2,30
GR DES 43 Total,,24,3,1,,,,,,,,2,30
GR DES 50,JOHNSON L D,14,2,,3,1,,,,,,5,25
GR DES 50 Total,,14,2,,3,1,,,,,,5,25
GR DES 51,CHAN N R,8,6,1,,1,,,,,,1,17
GR DES 51 Total,,8,6,1,,1,,,,,,1,17
GR DES 60,JOHNSON L D,22,7,5,,,,,,,,12,46
GR DES 60 Total,,22,7,5,,,,,,,,12,46
GR DES 61,HARGREAVES K E,14,4,4,,,,,,,,3,25
"",VACARRA J W,14,4,1,,2,,,,,,2,23
GR DES 61 Total,,28,8,5,,2,,,,,,5,48
GR DES 62,SALIMI M,15,2,1,1,1,,,,,,1,21
"",SWEIDAN S,17,2,,,,,,,,,3,22
GR DES 62 Total,,32,4,1,1,1,,,,,,4,43
GR DES 64,CHAN N R,17,7,1,,2,,,,,,,27
"",HILL R L,17,4,,,,,,,,,3,24
"",MACGILLIVRAY I J,6,8,6,,6,,,,,,1,27
GR DES 65,SAFIOULLINE M,8,13,6,,3,,,,,,13,43
"",TRIVIZA A,7,3,,1,1,,,,,,9,21
GR DES 65 Total,,15,16,6,1,4,,,,,,22,64
GR DES 66,BESLER I H,2,4,9,2,6,,,,,,5,28
"",SAFIOULLINE M,2,5,4,2,1,,,,,,6,20
GR DES 66 Total,,4,9,13,4,7,,,,,,11,48
GR DES 67,SAFIOULLINE M,2,6,1,1,,,,,,,3,13
GR DES 67 Total,,2,6,1,1,,,,,,,3,13
GR DES 71,GERDS E L,8,4,3,1,5,,,,,,4,25
"",HEATON W B,4,15,1,,,,,,,,8,28
GR DES 71 Total,,12,19,4,1,5,,,,,,12,53
GR DES 71B,HEATON W B,4,4,,,1,,2,,1,,5,17
GR DES 71B Total,,4,4,,,1,,2,,1,,5,17
GR DES 75,ANVARI S S,9,6,1,2,1,,,,,,6,25
GR DES 75 Total,,9,6,1,2,1,,,,,,6,25
GR DES 76,ANVARI S S,23,3,1,,1,,,,,,3,31
GR DES 76 Total,,23,3,1,,1,,,,,,3,31
GR DES 90C,CHAN N R,,,,,,,,,,,1,1
GR DES 90C Total,,,,,,,,,,,,1,1
INTARC 28A,CORDOVA S A,11,5,,1,3,,3,,,,7,30
"",JACOBS R E,9,5,1,2,5,,,,,,5,27
INTARC 28A Total,,20,10,1,3,8,,3,,,,12,57
INTARC 28B,SOTO A J,7,1,5,2,4,,,,,,3,22
INTARC 28B Total,,7,1,5,2,4,,,,,,3,22
INTARC 29,RABKIN B L,10,5,1,,3,,,,,,1,20
INTARC 29 Total,,10,5,1,,3,,,,,,1,20
INTARC 30,RABKIN B L,19,3,1,,,,,,,,6,29
"",ZMUDA L M,4,6,4,1,6,,,,,,9,30
INTARC 30 Total,,23,9,5,1,6,,,,,,15,59
INTARC 31,HAO J Y,5,6,1,,,,,,,,4,16
"",ZMUDA L M,4,2,,1,1,,,,,,7,15
INTARC 31 Total,,9,8,1,1,1,,,,,,11,31
INTARC 34,NOONAN I,16,5,2,1,2,,,,,,3,29
INTARC 34B,MAGAR C,13,6,,,,,,,,,2,21
INTARC 34B Total,,13,6,,,,,,,,,2,21
INTARC 35,CORDOVA S A,15,4,5,,3,,,,,,3,30
INTARC 35 Total,,15,4,5,,3,,,,,,3,30
INTARC 36,GREGORY D K,6,7,4,,4,,,,,,3,24
INTARC 36 Total,,6,7,4,,4,,,,,,3,24
INTARC 37,DUNPHY B E,9,3,,,,,,1,,,7,20
INTARC 37 Total,,9,3,,,,,,1,,,7,20
INTARC 38,GENSLER A H,9,6,1,,3,,,,,,6,25
INTARC 38 Total,,9,6,1,,3,,,,,,6,25
INTARC 40,HAO J Y,13,3,,,,,,,,,,16
INTARC 40 Total,,13,3,,,,,,,,,,16
INTARC 41,NOONAN I,11,7,4,1,2,,,,,,3,28
INTARC 41 Total,,11,7,4,1,2,,,,,,3,28
INTARC 44,MAGNO H R,12,5,,,3,,,,,,4,24
INTARC 44 Total,,12,5,,,3,,,,,,4,24
INTARC 45,CORDOVA S A,4,2,,,,,,,,,2,8
INTARC 45 Total,,4,2,,,,,,,,,2,8
INTARC 65,CAMENETI M A,8,4,5,,,,,,,,3,20
INTARC 65 Total,,8,4,5,,,,,,,,3,20
INTARC 70,GARCIA JO,7,1,3,1,1,,,,,,4,17
INTARC 70 Total,,7,1,3,1,1,,,,,,4,17
IXD    310,CHAN N R,21,,,,,,,,,,,21
IXD    310 Total,,21,,,,,,,,,,,21
IXD    350,SAFIOULLINE M,9,7,5,,,,,,,,,21
IXD    350 Total,,9,7,5,,,,,,,,,21
IXD    370,JOHNSON L D,20,,,,,,,,,,,20
IXD    370 Total,,20,,,,,,,,,,,20
IXD    410,JOHNSON L D,10,7,2,,,,,,,,,19
IXD    410 Total,,10,7,2,,,,,,,,,19
IXD    430,SWEIDAN S,17,3,,,,,,,,,,20
IXD    430 Total,,17,3,,,,,,,,,,20
IXD    460,SAFIOULLINE M,3,13,3,,,,1,,,,,20
IXD    493,CHAN N R,2,,,,,,1,,,,,3
IXD    493 Total,,2,,,,,,1,,,,,3
"",,1097,515,215,63,168,,14,1,8,,389,2470
COUNS  12H,DEUEL E M,2,2,3,,5,,,,,,2,14
COUNS  12H Total,2,2,3,,5,,,,,,2,14,
COUNS  13H,PEARCE MI,,,,,,,,1,9,,1,11
COUNS  13H Total,,,,,,,,1,9,,1,11,
COUNS  15H,DEUEL E M,2,3,1,,2,,,,,,3,11
COUNS  15H Total,2,3,1,,2,,,,,,3,11,
COUNS  21H,PETERS T M,,,,,,1,,1,3,,,5
COUNS  21H Total,,,,,,1,,1,3,,,5,
COUNS  22H,PETERS T M,,,,,,3,,,1,,1,5
COUNS  22H Total,,,,,,3,,,1,,1,5,
COUNS  25H,PETERS T M,,,,,,,,,1,,,1
COUNS  25H Total,,,,,,,,,1,,,1,
COUNS  26,PETERS T M,,,,,,,,1,3,,,4
COUNS  26 Total,,,,,,,,,1,3,,,4
COUNS  41H,DEUEL E M,2,1,,,,,,,,,4,7
COUNS  41H Total,2,1,,,,,,,,,4,7,
COUNS  51,FUJII A M,,,,,,,,,6,,1,7
COUNS  51 Total,,,,,,,,,,6,,1,7
COUNS  52,FUJII A M,,,,,,,,1,7,,1,9
COUNS  52 Total,,,,,,,,,1,7,,1,9
COUNS  54,AXELROD L,,,,,,,,1,12,,1,14
COUNS  54 Total,,,,,,,,,1,12,,1,14
COUNS  56,AXELROD L,,,,,,,,1,4,,1,6
COUNS  56 Total,,,,,,,,,1,4,,1,6
COUNS  57,TERUYA S,,,,,,,,,3,,,3
COUNS  57 Total,,,,,,,,,,3,,,3
COUNS  58,MARCOPULOS G E,,,,,,,,,6,,3,9
COUNS  58 Total,,,,,,,,,,6,,3,9
COUNS  59,COURTO L,,,,,,,,,2,,4,6
COUNS  59 Total,,,,,,,,,,2,,4,6
ANTHRO  1,HARADON C M,9,6,2,2,1,,,,,,1,21
"",LEWIS B S,5,13,17,13,10,,,,,,24,82
"",RASHIDI J S,5,12,8,5,8,,,,,,4,42
"",RICH E,25,18,9,6,6,,,,,,5,69
ANTHRO  1 Total,,44,49,36,26,25,,,,,,34,214
ANTHRO  2,DENMAN J F,35,29,55,1,8,,1,,1,,13,143
"",GREBLER G,22,11,1,,,,,,,,7,41
"",MINZENBERG E G,20,18,14,6,4,,1,,,,10,73
"",STRAUSS E M,34,6,1,1,3,,,,,,2,47
"",ZANE W W,4,12,2,1,2,,,,,,13,34
ANTHRO  2 Total,,115,76,73,9,17,,2,,1,,45,338
ANTHRO  3,LEWIS B S,7,10,10,7,9,,,,,,21,64
ANTHRO  3 Total,,7,10,10,7,9,,,,,,21,64
ANTHRO  4,LEWIS B S,4,12,7,,8,,1,,,,7,39
ANTHRO  4 Total,,4,12,7,,8,,1,,,,7,39
ANTHRO  5,BREWSTER C P,21,21,8,,,,,,,,2,52
"",RASHIDI J S,9,5,7,2,3,,,,,,5,31
"",UY J K,10,8,7,1,,,,,1,,2,29
ANTHRO  5 Total,,40,34,22,3,3,,,,1,,9,112
ANTHRO  7,COHEN M M,13,7,5,,1,,,,,,4,30
ANTHRO  7 Total,,13,7,5,,1,,,,,,4,30
ANTHRO  9,UY J K,9,8,3,3,,,,,,,2,25
ANTHRO  9 Total,,9,8,3,3,,,,,,,2,25
ANTHRO 10,BREWSTER C P,12,2,4,,,,,,1,,7,26
ANTHRO 10 Total,,12,2,4,,,,,,1,,7,26
ANTHRO 14,ZANE W W,4,7,2,2,3,,,,,,16,34
ANTHRO 14 Total,,4,7,2,2,3,,,,,,16,34
ANTHRO 19,"GREBLER
G/MINZENBERG E G",15,16,2,2,2,,,,,,7,44
ANTHRO 19 Total,,15,16,2,2,2,,,,,,7,44
ANTHRO 21,MINZENBERG E G,6,9,9,1,1,,,,,,3,29
ANTHRO 21 Total,,6,9,9,1,1,,,,,,3,29
ANTHRO 22,ZANE W W,7,12,7,4,5,,,,,,8,43
ASTRON  1,BALM S P,26,47,28,5,9,,,,,,14,129
"",GOLDBAUM J M,4,23,17,2,,,,,,,7,53
"",SCHWARTZ M J,19,6,7,,1,,,,,,4,37
ASTRON  1 Total,,49,76,52,7,10,,,,,,25,219
ASTRON  2,BALM S P,26,43,25,6,13,,,,2,,16,131
"",SALAMA A H,7,5,5,,1,,2,,,,2,22
"",SCHWARTZ M J,25,8,1,,1,,,,2,,3,40
ASTRON  2 Total,,58,56,31,6,15,,2,,4,,21,193
ASTRON  3,ARIAS YOUNG T,10,10,9,3,1,,,,,,,33
"",SOBEL H,4,16,3,2,,,1,,1,,4,31
ASTRON  3 Total,,14,26,12,5,1,,1,,1,,4,64
ASTRON  4,SCHWARTZ M J,27,24,5,,,,,,2,,3,61
ASTRON  4 Total,,27,24,5,,,,,,2,,3,61
ASTRON  5,BALM S P,6,11,8,3,2,,,,,,9,39
"",SALAMA A H,5,8,15,2,2,,2,,,,4,38
ASTRON  5 Total,,11,19,23,5,4,,2,,,,13,77
ASTRON  6,FOUTS G A,9,10,10,1,5,,,,,,8,43
ASTRON  6 Total,,9,10,10,1,5,,,,,,8,43
ENERGY  1,COOLEY S,2,3,3,,1,,,,,,1,10
ENERGY  1 Total,,2,3,3,,1,,,,,,1,10
ENERGY  2,COOLEY S,9,2,2,1,5,,,1,,,6,26
ENERGY  2 Total,,9,2,2,1,5,,,1,,,6,26
ENVRN   7,LEDDY G,17,5,1,3,2,,,,,,1,29
ENVRN   7 Total,,17,5,1,3,2,,,,,,1,29
GEOG    1,COPE J A,8,20,11,3,4,,,,,,,46
"",LIU J,13,9,8,6,3,,,,1,,4,44
"",ROBINSON C M,4,6,6,2,12,,,,1,,5,36
GEOG    1 Total,,25,35,25,11,19,,,,2,,9,126
GEOG    2,ABATE A,10,10,12,2,13,,,,1,,8,56
GEOG    2 Total,,10,10,12,2,13,,,,1,,8,56
GEOG    3,KRANZ J,17,17,5,3,15,,,,1,,12,70
GEOG    3 Total,,17,17,5,3,15,,,,1,,12,70
GEOG    5,DRAKE V G,7,7,7,2,2,,,,,,7,32
"",LIU J,16,5,3,,,,,,,,,24
"",PRINDLE M R,3,12,3,3,3,,1,,2,,3,30
"",WHITE T M,6,6,2,1,2,,,,6,,3,26
GEOG    5 Total,,40,37,25,6,7,,1,,11,,16,143
GEOG    7,LEDDY G,10,8,2,2,,,,,,,,22
GEOG    7 Total,,10,8,2,2,,,,,,,,22
GEOG    8,MORRIS P S,6,9,9,4,6,,,,,,18,52
GEOG    8 Total,,6,9,9,4,6,,,,,,18,52
GEOG   11,MORRIS P S,4,11,6,6,2,,,,,,14,43
GEOG   11 Total,,4,11,6,6,2,,,,,,14,43
GEOG   14,HACKELING J,13,4,6,,2,,,,,,5,30
"",MORRIS P S,1,4,5,1,1,,,,,,8,20
GEOG   14 Total,,14,8,11,1,3,,,,,,13,50
GEOG   20,LIU J,7,,,,1,,,,,,3,11
GEOG   20 Total,,7,,,,1,,,,,,3,11
GEOG   23,LIU J,,,1,,2,,,,,,3,6
GEOG   23 Total,,,,1,,2,,,,,,3,6
GEOG   26,MASON J,1,1,,,,,,1,,,3,6
GEOG   26 Total,,1,1,,,,,,1,,,3,6
GEOL    1,GRIPPO A,5,5,8,2,1,,,,,,4,25
GEOL    1 Total,,5,5,8,2,1,,,,,,4,25
GEOL    3,MELENDEZ C,7,4,4,2,,,,,,,7,24
GEOL    3 Total,,7,4,4,2,,,,,,,7,24
GEOL    4,COLLINS L E,7,26,17,2,2,,,,1,,,55
"",HALL J M,19,5,2,,1,,,,,,2,29
"",MELENDEZ C,17,17,8,9,4,,1,,1,,4,61
GEOL    4 Total,,43,48,27,11,7,,1,,2,,6,145
GEOL    5,GRIPPO A,5,9,5,,3,,,,1,,4,27
GEOL    5 Total,,5,9,5,,3,,,,1,,4,27
GEOL   31,COLLINS L E,11,6,10,2,1,,,,,,1,31
GEOL   31 Total,,11,6,10,2,1,,,,,,1,31
GIS    20,LIU J,5,1,1,,2,,,,,,1,10
GIS    20 Total,,5,1,1,,2,,,,,,1,10
GIS    23 Total,,6,,,,2,,,,,,2,10
GIS    26,MASON J,4,,1,,3,,,1,,,1,10
GIS    26 Total,,4,,1,,3,,,1,,,1,10
GLOBAL 11,MORRIS P S,5,3,3,2,,,,,1,,6,20
GLOBAL 11 Total,,5,3,3,2,,,,,1,,6,20
PV      4,COOLEY S,1,2,2,,2,,,,,,1,8
PV      4 Total,,1,2,2,,2,,,,,,1,8
PV     11,COOLEY S,6,5,2,1,1,,,,,,3,18
PV     11 Total,,6,5,2,1,1,,,,,,3,18
PV     12,COOLEY S,3,3,1,,1,,,,,,4,12
PV     12 Total,,3,3,1,,1,,,,,,4,12
RRM     1,CHARLES V H,14,,,2,,,,,,,5,21
RRM     1 Total,,14,,,2,,,,,,,5,21
RRM     2,CHARLES V H,15,,,1,,,,,,,4,20
RRM     2 Total,,15,,,1,,,,,,,4,20
RRM     3,HULS J M,22,8,2,1,1,,,,,,13,47
RRM     3 Total,,22,8,2,1,1,,,,,,13,47
RRM     4,SASU S,29,6,1,,6,,,,,,1,43
RRM     4 Total,,29,6,1,,6,,,,,,1,43
URBAN   8,MORRIS P S,1,5,7,1,3,,,,1,,6,24
URBAN   8 Total,,1,5,7,1,3,,,,1,,6,24
"",,788,704,489,145,218,,10,3,30,,413,2800
DANCE  75,WOLIN-TUPAS R L,17,,2,,1,,,,,,4,24
DANCE  75 Total,,17,,2,,1,,,,,,4,24
ECE     2,ANDREWS T D,10,2,,,5,,,,,,6,23
"",ELAM E J,18,5,,3,3,,,,,,7,36
"",MANSON L J,18,6,1,,,,,,,,5,30
"",MOSLEY K R,7,5,4,2,1,,,,,,10,29
"",POURROY D M,39,8,9,1,2,,,,,,5,64
ECE     2 Total,,92,26,14,6,11,,,,,,33,182
ECE     4,MCPEAKE P,16,4,,,4,,,,,,6,30
ECE     4 Total,,16,4,,,4,,,,,,6,30
ECE     5,HOVANISYAN A,11,6,1,,1,,,,,,8,27
ECE     8,ELAM E J,11,10,4,,3,,,,,,5,33
ECE     8 Total,,11,10,4,,3,,,,,,5,33
ECE     9,GUNN A C,15,3,3,1,1,,,,,,3,26
ECE     9 Total,,15,3,3,1,1,,,,,,3,26
ECE    11,ANDREWS T D,17,4,2,1,1,,,,,,10,35
"",MANSON L J,15,11,3,,2,,,,,,1,32
"",MILLER CA L,43,7,6,1,4,,,,,,5,66
ECE    11 Total,,75,22,11,2,7,,,,,,16,133
ECE    17,MANSON L J,39,13,3,2,5,,,,,,6,68
"",RICHARD C,19,6,3,,,,,,,,5,33
ECE    17 Total,,58,19,6,2,5,,,,,,11,101
ECE    19,BACKLAR N P,13,7,1,,2,,,,,,8,31
"",DRUKER S L,8,6,3,3,3,,,,,,4,27
"",MILLER CA L,15,8,2,,1,,,,,,3,29
ECE    19 Total,,36,21,6,3,6,,,,,,15,87
ECE    21,ELAM E J,7,4,1,,,,,,,,2,14
"",MILLER CA L,18,4,1,,,,,,,,4,27
ECE    21 Total,,25,8,2,,,,,,,,6,41
ECE    22,GRACE Y H,21,4,2,,,,,,,,,27
"",LOPEZ JE,15,5,1,,,,,,,,2,23
ECE    22 Total,,36,9,3,,,,,,,,2,50
ECE    24,HUFF G F,13,3,4,,3,,,,,,6,29
ECE    24 Total,,13,3,4,,3,,,,,,6,29
ECE    25,GRACE Y H,17,4,2,,,,,,,,1,24
ECE    25 Total,,17,4,2,,,,,,,,1,24
ECE    26,HUFF G F,17,2,4,1,4,,,,,,5,33
ECE    26 Total,,17,2,4,1,4,,,,,,5,33
ECE    27,HUFF G F,17,4,2,,1,,1,,,,1,26
ECE    27 Total,,17,4,2,,1,,1,,,,1,26
ECE    29,GRACE Y H,5,3,1,,3,,,,,,,12
ECE    29 Total,,5,3,1,,3,,,,,,,12
ECE    32,BACKLAR N P,14,10,1,2,1,,,,,,5,33
ECE    32 Total,,14,10,1,2,1,,,,,,5,33
ECE    41 Total,,26,4,2,,2,,,,,,,34
ECE    43,GUNN A C,19,3,,,,,,,,,1,23
ECE    43 Total,,19,3,,,,,,,,,1,23
ECE    45,ELAM E J,18,4,,,3,,,,,,2,27
"",PARISE W A,6,3,1,,3,,,,,,12,25
ECE    45 Total,,24,7,1,,6,,,,,,14,52
ECE    46,BACKLAR N P,12,7,3,,4,,,,,,2,28
"",HUFF G F,21,3,4,1,1,,,,,,3,33
"",LERNER N F,31,6,4,,,,,,,,1,42
ECE    46 Total,,64,16,11,1,5,,,,,,6,103
ECE    48,KHOKHA E W,14,1,,,2,,,,,,1,18
ECE    48 Total,,14,1,,,2,,,,,,1,18
ECE    51,"HEIMANN R Y/KHOKHA
E W",16,2,1,1,2,,,,,,6,28
ECE    51 Total,,16,2,1,1,2,,,,,,6,28
ECE    55,KHOKHA E W,12,2,,2,2,,,,,,1,19
ECE    55 Total,,12,2,,2,2,,,,,,1,19
ECE    64,ANDREWS T D,18,6,4,3,4,,,,,,2,37
"",POURROY D M,22,8,2,,,,,,,,1,33
ECE    64 Total,,40,14,6,3,4,,,,,,3,70
ECE    71,MCGRATH M T,12,6,3,1,1,,1,,,,4,28
ECE    71 Total,,12,6,3,1,1,,1,,,,4,28
ECE    75,WOLIN-TUPAS R L,14,,1,,,,,,,,4,19
ECE    75 Total,,14,,1,,,,,,,,4,19
EDUC    2,TALLEDA M L,8,4,,,1,,,,,,5,18
EDUC    2 Total,,8,4,,,1,,,,,,5,18
"",,724,213,91,25,76,,2,,,,172,1303
ENGL    1,ADAMS J J,2,11,19,1,13,,,,,,6,52
"",AGHABEGIAN DIANA E,9,7,8,2,1,,,,,,14,41
"",ALLEN J R,9,12,3,4,10,,,,,,12,50
"",ANDERSON E,7,5,2,3,2,,,,,,3,22
"",ANSELMI II J J,36,4,,2,6,,,,,,2,50
"",BARHAM A C,2,11,14,4,13,,,,,,6,50
"",BEARDSLEY J D,3,10,6,,8,,,,,,1,28
"",BELL S L,6,6,1,1,2,,,,,,7,23
"",BONAR H S,7,8,3,1,3,,,,,,1,23
"",BOSTICK J D,2,10,7,16,,,,,,,13,48
"",BRIGSTOCKE J W,7,22,3,,12,,6,,,,19,69
"",BUMBERA N J,10,11,3,,4,,,,,,16,44
"",CAGGIANO S E,17,16,11,2,17,,,,,,7,70
"",CARDENAS T P,31,10,6,,2,,,,,,3,52
"",COLMER I H,26,23,1,2,8,,,,,,11,71
"",CONSTANTIN G N,12,5,5,2,2,,,,,,5,31
"",CRAMER T R,22,14,8,1,4,,,,,,13,62
"",DEL GEORGE D K,15,18,5,1,6,,,,,,14,59
"",DEMPSEY A L,65,7,3,1,1,,,,,,10,87
"",DESAI D H,9,22,9,2,,,,,,,4,46
"",DIXON M J,23,21,5,4,16,,,,,,6,75
"",DOSSETT G H,10,25,17,4,5,,,,,,7,68
"",DOUCET W J,54,16,9,11,7,,8,,,,10,115
"",DRISCOLL L V,13,21,3,12,1,,,,,,21,71
"",DURAN A,1,5,14,1,19,,,,,,10,50
"",EDELMANN C,12,15,6,8,,,,,,,8,49
"",ENGELMANN D S,42,13,1,,2,,,,,,5,63
"",ESPINOSA A A,3,9,6,10,11,,1,,,,10,50
"",FUCHS C A,13,6,11,2,8,,,,,,7,47
"",GARCIA M S,17,9,10,3,7,,,,,,6,52
"",GARNICA A M,,5,18,5,8,,,,,,16,52
"",GILDNER B J,1,8,4,5,,,,,,,4,22
"",GONZALEZ S G,15,10,6,5,5,,,,,,18,59
"",GOODE S S,4,13,,,1,,,,,,4,22
"",GRIFFY W J,5,18,15,2,10,,,,,,27,77
"",GUSTIN M J,9,14,5,2,4,,,,,,10,44
"",HALL J E,9,8,2,,5,,,,,,,24
"",HAMADA M J,11,18,7,,3,,,,,,10,49
"",HASSMAN T,3,5,1,3,6,,,,,,5,23
"",HERBERT S,28,24,10,,6,,,,2,,2,72
"",HERTZ U L,14,18,13,6,1,,,,,,11,63
"",HIOUREAS E C,9,10,16,4,5,,,,,,11,55
"",IRELAND S P,24,15,4,6,1,,,,,,6,56
"","IRELAND S
P/LEGRANDE E",45,11,4,6,,,,,,,4,70
"",JANAKOS L D,1,5,2,1,3,,,,,,4,16
"",JOHNSON D J,7,29,17,6,8,,1,1,,,5,74
"",KARRON R,12,9,2,,,,,,,,2,25
"",KAUFFMAN S R,47,11,,1,,,,,,,2,61
"",KEMPER D E,9,4,,1,3,,,,,,6,23
"",KOZAK J P,6,4,6,1,3,,,,,,3,23
"",KRUG J M,9,12,22,3,2,,,,,,2,50
"",KRUSOE J A,6,22,17,10,,,,,,,12,67
"",LANDAU D M E,10,16,19,7,2,,,,,,12,66
"",LIVANIS L,6,4,14,3,12,,,,,,11,50
"",LYNCH J J,19,8,6,4,5,,,,,,9,51
"",MARKARIAN E A,21,26,19,14,,,,,,,12,92
"",MARTINEZ-GIL C,22,14,1,,2,,,,,,5,44
"",MATTESSICH S N,25,16,4,4,14,,,,,,6,69
"",MEEKS C,4,6,6,2,3,,,,,,5,26
